Gender,Age,Country,EdLevel
"Non-binary, genderqueer, or gender non-conforming",25.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Woman,39.0,Canada,Some college/university study without earning a degree
Man,37.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,29.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,41.0,Croatia,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,26.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,54.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,26.0,Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,21.0,Sweden,Associate degree
Man,31.0,Spain,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,38.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,26.0,Italy,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,28.0,Pakistan,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,26.0,South Africa,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,27.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,32.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,30.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,34.0,United States,"Other doctoral degree (Ph.D, Ed.D., etc.)"
Man,23.0,Brazil,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,32.0,Russian Federation,Associate degree
Man,24.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,25.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,47.0,Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,,Argentina,Some college/university study without earning a degree
Woman,28.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,34.0,Romania,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,34.0,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,25.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,29.0,Austria,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,35.0,South Africa,
Woman,32.0,Iran,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,47.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,30.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,31.0,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,24.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,31.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,22.0,Australia,Some college/university study without earning a degree
Man,35.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Woman,29.0,Argentina,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,30.0,Hungary,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,29.0,Latvia,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,28.0,United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,28.0,Hong Kong (S.A.R.),"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,27.0,United Arab Emirates,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,27.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,28.0,Poland,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,29.0,Poland,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,40.0,France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,35.0,Portugal,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,45.0,Canada,Some college/university study without earning a degree
Man,34.0,Hong Kong (S.A.R.),"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,33.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,30.0,United States,Associate degree
Man,30.0,Netherlands,
Man,41.0,United Arab Emirates,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,35.0,Bulgaria,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,36.0,Netherlands,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,39.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Woman,23.0,Russian Federation,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,28.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Woman,33.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,31.0,Nicaragua,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,32.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,45.0,Sweden,I never completed any formal education
Man,31.0,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,32.0,Canada,Associate degree
Man,35.0,Sweden,Some college/university study without earning a degree
Man,33.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,33.0,Austria,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,24.0,Hong Kong (S.A.R.),"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,27.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,28.0,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
Man,41.0,Australia,Associate degree
Man,31.0,Denmark,Associate degree
Man,27.0,United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,24.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,25.0,Japan,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,24.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,29.0,Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,34.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,29.0,Israel,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,29.0,Russian Federation,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,27.0,Ireland,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,47.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,26.0,Hong Kong (S.A.R.),Associate degree
Man,32.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,23.0,Ireland,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,37.0,United States,Some college/university study without earning a degree
Man,27.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,31.0,Netherlands,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,39.0,Guatemala,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
Man,33.0,Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,30.0,Netherlands,Some college/university study without earning a degree
Man,28.0,Poland,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,51.0,Australia,Associate degree
Woman,36.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,32.0,Latvia,Associate degree
Man,24.0,Pakistan,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,31.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Woman,22.0,United States,Some college/university study without earning a degree
Man,24.0,Poland,Some college/university study without earning a degree
Man,30.0,Netherlands,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Woman,32.0,United States,Some college/university study without earning a degree
Man,23.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,34.0,Bangladesh,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,34.0,Spain,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,31.0,Israel,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,47.0,Ukraine,Some college/university study without earning a degree
Man,35.0,France,"Other doctoral degree (Ph.D, Ed.D., etc.)"
Man,24.0,Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,33.0,Russian Federation,Some college/university study without earning a degree
Man,30.0,Israel,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,30.0,Sweden,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,28.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,35.0,Mexico,Some college/university study without earning a degree
Man,23.0,France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,33.0,Brazil,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,25.0,France,
Man,26.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,25.0,Poland,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,29.0,Pakistan,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,33.0,France,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,40.0,United States,Some college/university study without earning a degree
Man,25.0,Egypt,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,37.0,Brazil,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,26.0,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,57.0,Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,32.0,Italy,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,26.0,France,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,38.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,28.0,United States,Some college/university study without earning a degree
Man,27.0,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,38.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,52.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,30.0,United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
Man,41.0,Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,22.0,United States,Some college/university study without earning a degree
Man,48.0,Hungary,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,31.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,49.0,France,"Professional degree (JD, MD, etc.)"
Man,27.0,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,30.0,Spain,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,24.0,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,32.0,United States,"Professional degree (JD, MD, etc.)"
Man,43.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,33.0,Brazil,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,35.0,New Zealand,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
Man,44.0,Sweden,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
"Non-binary, genderqueer, or gender non-conforming",21.0,United States,Some college/university study without earning a degree
Woman,27.0,Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,28.0,Switzerland,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Woman,29.0,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,32.0,New Zealand,Associate degree
Man,28.0,United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,51.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Woman,24.0,Hong Kong (S.A.R.),"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,41.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,24.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,38.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,25.0,Spain,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,23.0,Brazil,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,28.0,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
Woman,31.0,Iran,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,29.0,Serbia,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,24.0,Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,35.0,United States,I never completed any formal education
Man,39.0,New Zealand,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,32.0,Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,37.0,United States,Some college/university study without earning a degree
Man,29.0,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,23.0,Russian Federation,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,23.0,Poland,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,28.0,United Kingdom,Some college/university study without earning a degree
Woman,26.0,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,30.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,29.0,France,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,46.0,United States,
Man,22.0,Poland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
Man,31.0,Poland,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,32.0,Poland,Some college/university study without earning a degree
Man,41.0,France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,25.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Woman,27.0,Mauritius,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,27.0,Croatia,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,37.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,23.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,24.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,31.0,Russian Federation,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,32.0,Ukraine,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,29.0,South Korea,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,20.0,Switzerland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
Man,30.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,40.0,United States,Some college/university study without earning a degree
Man,23.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Woman,30.0,Canada,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,24.0,Netherlands,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,25.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,37.0,Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,42.0,Sweden,Some college/university study without earning a degree
Man,25.0,Netherlands,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Woman,24.0,Bulgaria,Some college/university study without earning a degree
Man,36.0,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,24.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,23.0,Canada,
Man,35.0,United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,35.0,Canada,"Other doctoral degree (Ph.D, Ed.D., etc.)"
Woman,20.0,Israel,Some college/university study without earning a degree
Man,40.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Woman,30.0,France,"Other doctoral degree (Ph.D, Ed.D., etc.)"
Man,21.0,Brazil,Some college/university study without earning a degree
Woman,30.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,28.0,China,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,28.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,27.0,Slovenia,Some college/university study without earning a degree
Man,24.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Woman,23.0,Argentina,Some college/university study without earning a degree
Man,,Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,30.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,,Netherlands,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,24.0,United States,Some college/university study without earning a degree
Man,25.0,Ukraine,Some college/university study without earning a degree
Man,29.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,23.0,Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,41.0,Denmark,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
Man,31.0,Estonia,Some college/university study without earning a degree
Man,43.0,Switzerland,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,29.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,29.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,28.0,Spain,"Other doctoral degree (Ph.D, Ed.D., etc.)"
Man,34.0,Russian Federation,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,34.0,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,29.0,Iran,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,27.0,Norway,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Woman,30.0,Serbia,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,33.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,,Portugal,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,24.0,Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Woman,36.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,39.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,30.0,Singapore,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
,23.0,Republic of Moldova,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,24.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,37.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,37.0,Netherlands,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,28.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Woman,28.0,France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,35.0,United States,"Other doctoral degree (Ph.D, Ed.D., etc.)"
Man,27.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,31.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,30.0,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,52.0,United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,33.0,United States,Associate degree
Man,36.0,United Kingdom,Some college/university study without earning a degree
Man,27.0,Russian Federation,Some college/university study without earning a degree
Man,23.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,28.0,Belgium,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,29.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Woman,18.0,Brazil,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
Man,28.0,Belgium,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,31.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,27.0,Italy,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,36.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,24.0,Italy,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,23.0,United States,Some college/university study without earning a degree
Man,29.0,Brazil,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,37.0,South Africa,Some college/university study without earning a degree
Man,19.0,Nigeria,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
Man,24.0,United States,Associate degree
Man,28.0,Israel,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
Man,33.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,37.0,United States,Associate degree
Woman,25.0,Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,28.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,35.0,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
Man,28.0,Turkey,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,29.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,34.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,32.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Woman,24.0,Netherlands,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,36.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Woman,28.0,Brazil,Associate degree
Man,22.0,France,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,41.0,Australia,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,35.0,Turkey,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Woman,34.0,Netherlands,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
Man,36.0,Sweden,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,39.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,49.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,36.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,24.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,25.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,33.0,Thailand,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,29.0,United Kingdom,Some college/university study without earning a degree
Man,22.0,United States,Some college/university study without earning a degree
Man,19.0,Russian Federation,Some college/university study without earning a degree
Man,26.0,Netherlands,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,38.0,France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,32.0,Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,34.0,Mongolia,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,32.0,Netherlands,Some college/university study without earning a degree
Man,34.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,27.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,27.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
"Non-binary, genderqueer, or gender non-conforming",28.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,31.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,42.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Woman,28.0,Mexico,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,45.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,33.0,Chile,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,27.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,34.0,Spain,Some college/university study without earning a degree
Man,24.0,Malaysia,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,29.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,27.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,21.0,Italy,Some college/university study without earning a degree
Woman,26.0,Georgia,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,31.0,Canada,"Other doctoral degree (Ph.D, Ed.D., etc.)"
Man,45.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,24.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,24.0,South Africa,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,29.0,Italy,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,37.0,United Kingdom,Some college/university study without earning a degree
Woman,26.0,Malaysia,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,29.0,Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Woman,31.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Man,24.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,22.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,36.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
Man,21.0,United States,Some college/university study without earning a degree
Man,30.0,United Arab Emirates,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
Woman,27.0,Russian Federation,
